backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,year
/3s9O5af2xWKWR5JzP2iJZpZeQQg.jpg,"[28, 12, 878, 53]",351286,en,Jurassic World: Fallen Kingdom,"Three years after Jurassic World was destroyed, Isla Nublar now sits abandoned. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",152.503,/XiyoA8Kk87UQ4svKRCRWepjIzf.jpg,2018-06-06,Jurassic World: Fallen Kingdom,False,6.546,11512,2018
/9bn8ApCTuqTb7rLoxzyGcyzjuFx.jpg,"[28, 53, 12]",447200,en,Skyscraper,"Framed and on the run, a former FBI agent must save his family from a blazing fire in the world's tallest building.",149.913,/52ml62vClzrlqvXZq2FEW6UF6c1.jpg,2018-07-11,Skyscraper,False,6.315,4846,2018
/9il7qNbeYnPMYlutsVYDsj4hRyb.jpg,"[18, 28]",480530,en,Creed II,"Between personal obligations and training for his next big fight against an opponent with ties to his family's past, Adonis Creed is up against the challenge of his life.",145.356,/v3QyboWRoA4O9RbcsqH8tJMe8EB.jpg,2018-11-21,Creed II,False,7.03,5277,2018
/hMANgfPHR1tRObNp2oPiOi9mMlz.jpg,"[28, 12, 878]",424783,en,Bumblebee,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug.",139.269,/fw02ONlDhrYjTSZV8XO6hhU3ds3.jpg,2018-12-15,Bumblebee,False,6.725,5925,2018
/b9YkKJcW3pPaXgMZu9uoT7v9yRB.jpg,"[16, 28, 12, 878]",324857,en,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",120.296,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018-12-06,Spider-Man: Into the Spider-Verse,False,8.4,15123,2018
/ojHCeDULAkQK25700fhRU75Tur2.jpg,"[878, 12, 28]",348350,en,Solo: A Star Wars Story,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",119.017,/4oD6VEccFkorEBTEDXtpLAaz0Rl.jpg,2018-05-15,Solo: A Star Wars Story,False,6.561,8292,2018
/9ywA15OAiwjSTvg3cBs9B7kOCBF.jpg,"[18, 10749]",337167,en,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",113.067,/vwFR5WI1RQ1RCxS0cdTbiSgaXJr.jpg,2018-01-17,Fifty Shades Freed,False,6.704,7838,2018
/w9QfTrYmtoA96zJlVNvjS8eucf8.jpg,"[80, 35, 28]",402900,en,Ocean's Eight,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",111.539,/MvYpKlpFukTivnlBhizGbkAe3v.jpg,2018-06-07,Ocean's Eight,False,6.984,8120,2018
/xcaSYLBhmDzJ6P14bcKe0KTh3QV.jpg,"[10402, 18]",424694,en,Bohemian Rhapsody,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",111.121,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,2018-10-24,Bohemian Rhapsody,False,7.987,16549,2018
/sGzuQYSTwJvLBc2PnuSVLHhuFeh.jpg,"[53, 9648]",401981,en,Red Sparrow,"Prima ballerina Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust.",110.012,/vLCogyfQGxVLDC1gqUdNAIkc29L.jpg,2018-02-28,Red Sparrow,False,6.534,5801,2018
